No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	10pF	C1	C0402	10pF	CL05C100JB5NNNC	SAMSUNG(三星)	C32949	LCSC
2	3	100nF	C2,C3,C6	C0402	100nF	CL05B104KO5NNNC	SAMSUNG(三星)	C1525	LCSC
3	1	470nF	C4	C0603	470nF	CL10B474KA8NNNC	SAMSUNG(三星)	C1623	LCSC
4	1	1uF	C5	C0402	1uF	CL05A105KA5NQNC	SAMSUNG(三星)	C52923	LCSC
5	1	47pF	C7	C0402	47pF	0402CG470J500NT	FH(风华)	C1567	LCSC
6	1	18pF	C24	C0402	18pF	0402CG180J500NT	FH(风华)	C1549	LCSC
7	2	100pF	C25,C26	C0402	100pF	0402CG101J500NT	FH(风华)	C1546	LCSC
8	1	33pF	C27	C0402	33pF	0402CG330J500NT	FH(风华)	C1562	LCSC
9	2	2.7pF	C28,C29	C0402	2.7pF	0402CG2R7C500NT	FH(风华)	C1561	LCSC
10	1	10nF	C30	C0402	10nF	CL05B103KB5NNNC	SAMSUNG(三星)	C15195	LCSC
11	1	1nF	C31	C0402	1nF	0402B102K500NT	FH(风华)	C1523	LCSC
12	1	-	CN1	CONN-SMD_KH-SMA-KE8-G	-	KH-SMA-KE8-G	kinghelm(金航标)	C530661	LCSC
13	1	EZAEG2N50AX	D1	D0402-BI		EZAEG2N50AX	PANASONIC(松下)	C543662	LCSC
14	1	15uH	L1	L0805	15uH	MLZ2012M150WT000	TDK	C383402	LCSC
15	1	47nH	L2	IND-SMD_L1.2-W0.6-1	47nH	SCW1005C47NJST	Sunltech(顺磁)	C330871	LCSC
16	1	7.5nH	L7	L0402	7.5nH	LQG15HS7N5J02D	muRata(村田)	C98001	LCSC
17	1	22nH	L8	L0402	22nH	SCW1005C22NJST	Sunltech(顺磁)	C330861	LCSC
18	1	180nH	L9	L0402-RD	180nH	MLG1005SR18JTD25	TDK	C694570	LCSC
19	1	KT-0805G	LED1	LED0805-R-RD		KT-0805G	KENTO	C2297	LCSC
20	1	mikroBUS	MB1	mikroBUS add-on Board					
21	1	AO3400A	Q1	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		AO3400A	AOS	C20917	LCSC
22	1	220Ω	R1	R0402	220Ω	0402WGF2200TCE	UNI-ROYAL(厚声)	C25091	LCSC
23	1	470Ω	R111	R0402	470Ω	0402WGF4700TCE	UNI-ROYAL(厚声)	C25117	LCSC
24	1	10kΩ	R112	R0402	10kΩ	0402WGF1002TCE	UNI-ROYAL(厚声)	C25744	LCSC
25	1	0Ω	R113	R0402	0Ω	0402WGF0000TCE	UNI-ROYAL(厚声)	C17168	LCSC
26	1	100Ω	R114	R0402	100Ω	0402WGF1000TCE	UNI-ROYAL(厚声)	C25076	LCSC
27	1	100kΩ	R115	R0402	100kΩ	0402WGF1003TCE	UNI-ROYAL(厚声)	C25741	LCSC
28	1	SX1262IMLTRT	U1	QFN-24_L4.0-W4.0-P0.50-BL-EP2.6		SX1262IMLTRT	SEMTECH	C191341	LCSC
29	1	SKY13453-385LF	U2	QFN-6_L1.0-W1.0-P0.50-LS1.0-BL		SKY13453-385LF	SKYWORKS	C150878	LCSC
30	1	32MHz	X1	OSC-SMD_4P-L2.0-W1.6-BL_1	32MHz	OW7EL89CANUXK7YLC-32M	YXC(扬兴晶振)	C48332759	LCSC
