No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	1	22uF	C1	C1206	22uF	CL31A226KAHNNNE	SAMSUNG(三星)	C12891	LCSC
2	1	10uF	C2	C0603	10uF	CL10A106KP8NNNC	SAMSUNG(三星)	C19702	LCSC
3	1	680uF	C3	CAP-SMD_BD6.3-L6.6-W6.6-LS7.2-FD	680uF	EEEFTJ681XAP	PANASONIC(松下)	C178602	LCSC
4	1	10uF	C4	CAP-SMD_L3.2-W1.6-RD-C7171	10uF	TAJA106K016RNJ	Kyocera AVX	C7171	LCSC
5	3	100nF	C108,C109,C114	C0402	100nF	CL05B104KO5NNNC	SAMSUNG(三星)	C1525	LCSC
6	4	47uF	C110,C111,C112,C113	C1206	47uF	CL31A476MPHNNNE	SAMSUNG(三星)	C96123	LCSC
7	2	SOLDERING JUMPER	E22PE22,E22PE23	JUMPER_1		SOLDERING JUMPER			
8	1	Test-Point	ID_WP	Test-Point-0.5mm					
9	1	FH-00339	J1	RPi_Hat_Template:Samtec_HLE-120-02-XXX-DV-BE-XX-XX		FH-00339	Liansheng(连盛)	C2685112	LCSC
10	1	BLM18PG121SN1D	L1	L0603		BLM18PG121SN1D	muRata(村田)	C14709	LCSC
11	2	KT-0805G	LED1,LED2	LED0805-R-RD		KT-0805G	KENTO	C2297	LCSC
12	2	AO3400A	Q1,Q2	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR		AO3400A	AOS	C20917	LCSC
13	5	1kΩ	R1,R111,R112,R113,R114	R0402	1kΩ	0402WGF1001TCE	UNI-ROYAL(厚声)	C11702	LCSC
14	4	10kΩ	R109,R110,R115,R116	R0402	10kΩ	0402WGF1002TCE	UNI-ROYAL(厚声)	C25744	LCSC
15	1	RASP_PI_HAT_MECH_SPECIFICATION_	U1	RASP_PI_HAT_SPECIFICATION					
16	1	BL24C32A-NTRC	U6	DFN-8_L3.0-W2.0-P0.50-BL-EP		BL24C32A-NTRC	BL(上海贝岭)	C691878	LCSC
17	2	AHT20-F	U32,U37	SENSOR-SMD-6_AHT20		AHT20-F	广州奥松	C3012622	LCSC
18	2	ZX-SH1.0-4PWT	U33,U35	CONN-SMD_4P-P1.00_MEGASTAR_ZX-SH1.0-4PWT		ZX-SH1.0-4PWT	Megastar(兆星)	C7430446	LCSC
