No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	2	22uF	C1,C5	C1206	22uF	CL31A226KAHNNNE	SAMSUNG(三星)	C12891	LCSC
2	1	10uF	C2	C0603	10uF	CL10A106KP8NNNC	SAMSUNG(三星)	C19702	LCSC
3	1	220uF	C3	CAP-SMD_BD6.3-L6.6-W6.6-FD	220uF	EEEFT1C221AP	PANASONIC(松下)	C178588	LCSC
4	1	10uF	C4	CAP-SMD_L3.2-W1.6-RD-C7171	10uF	TAJA106K016RNJ	Kyocera AVX	C7171	LCSC
5	1	100nF	C7	C0402	100nF	CL05B104KO5NNNC	SAMSUNG(三星)	C1525	LCSC
6	1	BLM18PG121SN1D	L1	L0603		BLM18PG121SN1D	muRata(村田)	C14709	LCSC
7	2	10kΩ	R1,R2	R0402	10kΩ	0402WGF1002TCE	UNI-ROYAL(厚声)	C25744	LCSC
8	1	Luckfox Ultra	U1	Luckfox Ultra Hat					
9	1	2.54-1*3P针	U3	HDR-TH_3P-P2.54-V-M-1		2.54-1*3P针	BOOMELE(博穆精密)	C49257	LCSC
10	1	AHT20-F	U7	SENSOR-SMD-6_AHT20		AHT20-F	广州奥松	C3012622	LCSC
